نماد,قیمت_آخر (USD),سود خالص پس از کارمزد و لغزش (USD),پیپ(تقریبی),سود پیپ,قیمت اجرایی ورود
AAVEUSDT,149.87,666.66,0.01,1095.33,150.32
ZECUSDT,1609.0,702.09,0.01,12332.98,1613.83
