symbol,last_price,vol,vol_usd,signal_side,signal_reason,entry,stop,target
BNBUSDT,1169.9999,0.006999998705724339,8239.745102491972,long,macd+support+rsi,1169.9999,1108.4132933106387,1280.8557920408505
DOGEUSDT,0.2565323,0.006580010318699254,24162.482626583074,long,macd+support+rsi,0.2565323,0.24248264148120457,0.28182168533383173
SOLUSDT,230.5,0.006168094129997416,23471.97389748384,long,macd+support+rsi,230.5,221.09247681395803,247.43354173487555
ADAUSDT,0.856,0.00607692585186172,5693.853958786689,long,macd+support+rsi,0.856,0.8153282862351869,0.9292090847766634
XRPUSDT,3.01006,0.005162814627947606,17594.91640330681,long,macd+support+rsi,3.01006,2.838175716001922,3.319451711196541
