symbol,last_price,signal_side,units,notional,gross_profit_total,profit_pct_on_capital,risk_total,rr
BNBUSDT,1169.9999,long,0.034188037110088644,40.0,3.7899453509645755,9.474863377411438,2.1055251949803195,1.8
DOGEUSDT,0.2565323,long,155.92578400458734,40.0,3.9432672351718265,9.858168087929567,2.1907040195399046,1.7999999999999992
ADAUSDT,0.856,long,46.728971962616825,40.0,3.420985269937544,8.55246317484386,1.9005473721875255,1.799999999999999
SOLUSDT,230.5,long,0.1735357917570499,40.0,2.938575572212676,7.34643893053169,1.632541984562598,1.8
XRPUSDT,3.01006,long,13.28877165239231,40.0,4.111435801233742,10.278589503084353,2.284131000685412,1.8
ETHUSDT,4526.01,long,0.008837806368081378,40.0,2.515161084527776,6.287902711319441,1.3973117136265405,1.8000000000000023
