نماد,قیمت_آخر (USD),سود خالص پس از کارمزد و لغزش (USD),پیپ(تقریبی),سود پیپ,قیمت اجرایی ورود
BNBUSDT,1169.9999,3.527992062630371,0.01,11085.589204085045,1173.5122396998
DOGEUSDT,0.2565323,3.6803967689005463,0.0001,252.89385333831737,0.25730240996459997
ADAUSDT,0.856,3.161239116271225,0.0001,732.0908477666343,0.858569712
SOLUSDT,230.5,2.6817152135760285,0.01,1693.3541734875546,231.191961
XRPUSDT,3.01006,3.8475593435523034,0.01,30.939171119654095,3.01909620012
ETHUSDT,4526.01,2.2608336091018395,0.01,28459.1105504589,4539.59708202
