نماد,قیمت_آخر (USD),سمت_سیگنال,واحدها,ناتیشن (USD),سود ناخالص (USD),سود خالص پس از کارمزد و لغزش (USD),درصد سود خالص نسبت به سرمایه,ریسک ناخالص (USD),ریسک خالص پس از کارمزد و لغزش (USD),پیپ(تقریبی),سود پیپ,ریسک پیپ,R/R ناخالص,R/R خالص,قیمت اجرایی ورود
BNBUSDT,1169.9999,long,0.08521427950813817,100.0,9.44650496949302,8.819980156575927,8.819980156575927,5.248058316385011,5.830528828571034,0.01,11085.589204085045,6158.660668936136,1.8,1.512723873923038,1173.5122396998
DOGEUSDT,0.2565323,long,388.6477394974969,100.0,9.828662443274856,9.200991922251365,9.200991922251365,5.460368024041589,6.0422020317240595,0.0001,252.89385333831737,140.49658518795414,1.7999999999999992,1.5227878634217051,0.25730240996459997
ADAUSDT,0.856,long,116.47277862510948,100.0,8.526865524539193,7.9030977906780615,7.9030977906780615,4.7371475136328876,5.32114973640559,0.0001,732.0908477666343,406.7171376481304,1.799999999999999,1.4852237170864817,0.858569712
SOLUSDT,230.5,long,0.43254099133663215,100.0,7.324450928843303,6.70428803394007,6.70428803394007,4.069139404912946,4.655144315995579,0.01,1693.3541734875546,940.7523186041971,1.8,1.4401890852026675,231.191961
XRPUSDT,3.01006,long,33.12249539979061,100.0,10.247825530840773,9.61889835888076,9.61889835888076,5.693236406022652,6.274372274295943,0.01,30.939171119654095,17.18842839980783,1.8,1.5330455284405498,3.01909620012
ETHUSDT,4526.01,long,0.02202838670332008,100.0,6.2690829243804505,5.6520840227545985,5.6520840227545985,3.4828238468780235,4.07058653200364,0.01,28459.1105504589,15810.616972477146,1.8000000000000023,1.3885183322641486,4539.59708202
