symbol,last_price,volatility,vol_usd,signal_side,signal_reason,entry,stop,target,plot
ALPINE/USDT,1.396,0.25335374096794033,4160431.66491,none,nomatch,,,,binance_outputs/20251004/plots/ALPINE_USDT.html
EDEN/USDT,0.3527,0.10363247491571355,3824256.2898191675,none,nomatch,,,,binance_outputs/20251004/plots/EDEN_USDT.html
XVG/USDT,0.008255,0.09074799558544641,5152130.405699,long,macd+support+rsi,0.008255,0.006087730723066754,0.012156084698479844,binance_outputs/20251004/plots/XVG_USDT.html
FF/USDT,0.18955,0.09069741669736094,5930678.179338,long,macd+support+rsi,0.18955,0.18201421309328975,0.20311441643207845,binance_outputs/20251004/plots/FF_USDT.html
ZEC/USDT,134.03,0.0757717108449259,22135571.904444173,none,nomatch,,,,binance_outputs/20251004/plots/ZEC_USDT.html
SOMI/USDT,1.0072,0.06445695740074994,15613053.574870834,long,macd+support+rsi,1.0072,0.8406014848984077,1.3070773271828664,binance_outputs/20251004/plots/SOMI_USDT.html
ZKC/USDT,0.337,0.06110527941348871,3868223.486017501,none,nomatch,,,,binance_outputs/20251004/plots/ZKC_USDT.html
DASH/USDT,30.41,0.05819892753181316,3246131.270913333,none,nomatch,,,,binance_outputs/20251004/plots/DASH_USDT.html
