symbol,vol,last_price,vol_usd
ALPINE/USDT,0.2597336854013497,1.423,6253296.474195832
EDEN/USDT,0.11493009873528279,0.3399,5995758.5282924995
SUPER/USDT,0.1117570365641279,0.6138,2583316.99065
FF/USDT,0.09712795554747011,0.17655,6382894.688596251
XVG/USDT,0.08905296665549815,0.007893,4406088.049959001
ZEC/USDT,0.07088625697893863,147.45,42258194.9745875
ZKC/USDT,0.06301875597944988,0.3442,3781316.8862300003
SOMI/USDT,0.061565593470393976,0.8117,14497788.418826662
